#{"t_start": 1702597504.5211623, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,251,17.40016
3.0,228,32.560388
0.0,144,42.130704
1.0,176,53.830607
1.0,164,64.732322
1.0,184,76.964399
1.0,161,87.782229
0.0,132,96.541058
3.0,264,114.098371
2.0,187,126.534892
4.0,308,147.008657
1.0,187,159.445584
1.0,175,171.076801
1.0,188,183.585614
3.0,263,201.087909
1.0,172,212.507951
5.0,328,234.331062
1.0,157,244.782439
0.0,138,253.957462
3.0,232,269.380977
3.0,220,284.003617
0.0,139,293.24492
2.0,207,307.011197
0.0,139,316.250133
0.0,140,325.556724
3.0,264,343.156864
0.0,136,352.207111
1.0,186,364.566684
4.0,307,384.97606
4.0,290,404.257453
3.0,255,421.204452
3.0,264,438.756952
2.0,206,452.452633
1.0,170,463.760739
1.0,159,474.342741
1.0,155,484.656368
3.0,241,500.67661
0.0,140,509.989474
0.0,136,519.021117
1.0,174,530.598574
2.0,242,546.678074
0.0,136,555.729076
1.0,173,567.230779
1.0,173,578.733002
1.0,165,589.696893
2.0,208,603.540039
0.0,140,612.848628
2.0,203,626.348319
1.0,186,638.769112
0.0,125,647.076672
1.0,174,658.650607
0.0,132,667.470691
1.0,182,679.565462
2.0,208,693.402283
0.0,141,702.792443
0.0,131,711.498575
2.0,203,724.995743
2.0,197,738.094676
1.0,195,751.070516
3.0,235,766.718632
0.0,127,775.163035
1.0,166,786.19072
1.0,180,798.16438
1.0,178,810.009408
2.0,195,822.956306
0.0,138,832.131466
0.0,142,841.602001
2.0,215,855.890034
0.0,132,864.67152
0.0,125,872.980803
2.0,236,888.670549
1.0,177,900.45899
2.0,201,913.836017
0.0,133,922.675934
0.0,133,931.519563
2.0,201,944.886206
1.0,174,956.45289
1.0,178,968.284269
2.0,217,982.704164
0.0,144,992.27796
2.0,192,1005.075805
1.0,195,1018.040067
2.0,224,1032.958929
0.0,145,1042.594073
4.0,282,1061.339635
2.0,237,1077.112721
3.0,242,1093.208545
0.0,130,1101.850571
2.0,230,1117.153784
0.0,132,1125.929734
2.0,185,1138.22855
0.0,138,1147.404279
0.0,126,1155.793854
2.0,193,1168.629368
1.0,178,1180.463563
2.0,218,1194.981
0.0,139,1204.231019
0.0,130,1212.866292
0.0,137,1221.970848
1.0,171,1233.346742
0.0,139,1242.594285
1.0,173,1254.101
2.0,204,1267.70822
0.0,141,1277.180942
0.0,148,1287.089617
0.0,132,1295.898218
1.0,177,1307.710222
4.0,290,1326.986163
3.0,239,1342.90027
1.0,179,1354.885168
0.0,129,1363.508756
1.0,165,1374.470414
3.0,273,1392.626854
1.0,156,1403.006443
1.0,159,1413.582906
2.0,237,1429.367421
1.0,159,1439.921609
1.0,179,1452.803048
1.0,173,1464.313395
1.0,156,1474.68432
1.0,160,1485.314395
2.0,203,1498.818478
0.0,133,1507.658791
3.0,231,1523.018199
1.0,158,1533.522219
0.0,125,1541.836128
4.0,307,1562.246818
0.0,140,1571.554929
1.0,158,1582.056176
