#{"t_start": 1702633544.758786, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,129,9.204419
3.0,280,27.879097
0.0,129,36.463474
4.0,279,55.060914
0.0,125,63.443686
1.0,159,74.044509
0.0,131,82.778076
1.0,175,94.444453
0.0,129,103.044648
2.0,200,116.41132
2.0,199,129.661292
0.0,132,138.461974
3.0,245,154.834237
0.0,135,163.832173
2.0,188,176.377914
0.0,126,184.845868
1.0,170,196.171949
0.0,133,205.032821
0.0,154,215.295111
1.0,203,228.827484
1.0,179,240.767974
0.0,132,249.578315
0.0,134,258.544073
1.0,180,270.528589
1.0,163,281.395815
0.0,139,290.662332
2.0,227,305.794274
1.0,164,316.744266
2.0,237,332.549584
0.0,127,341.011679
2.0,216,360.039175
3.0,232,375.503519
4.0,278,394.056047
0.0,136,403.112143
0.0,137,412.258245
1.0,163,423.129721
0.0,134,432.068025
2.0,231,447.461489
0.0,127,455.930625
1.0,181,467.997169
0.0,138,477.199606
0.0,138,486.416204
3.0,287,505.612619
2.0,213,519.843934
4.0,308,540.373502
1.0,190,553.081056
2.0,224,568.106208
0.0,142,577.650652
0.0,134,586.595764
1.0,174,598.196284
2.0,205,611.86166
1.0,176,623.613903
1.0,181,635.714272
0.0,136,644.811336
2.0,196,657.864372
0.0,141,667.264978
0.0,136,676.363986
0.0,133,685.259273
1.0,169,696.563026
3.0,220,711.295769
1.0,186,723.715107
0.0,139,733.014318
1.0,162,743.81458
2.0,213,758.029004
3.0,252,774.832425
1.0,164,785.772011
0.0,149,795.699767
0.0,138,804.902216
3.0,276,823.345056
0.0,141,832.77139
1.0,172,844.258088
2.0,207,858.096341
1.0,174,869.69672
0.0,143,879.257547
0.0,137,888.413316
1.0,152,898.550453
1.0,178,910.428667
1.0,169,921.732567
0.0,128,930.313535
1.0,163,941.203772
2.0,199,954.514916
1.0,179,969.196552
2.0,204,982.796689
2.0,192,995.636127
1.0,164,1006.575102
1.0,155,1016.913909
0.0,139,1027.379464
1.0,169,1038.705724
1.0,169,1049.99604
1.0,154,1061.160781
1.0,182,1073.834569
2.0,201,1087.998486
0.0,131,1096.742452
1.0,184,1109.869866
0.0,140,1121.402113
0.0,128,1130.146141
0.0,132,1140.797011
2.0,212,1156.380217
3.0,246,1174.383693
0.0,158,1184.932162
0.0,138,1194.130975
2.0,223,1209.460027
1.0,180,1222.211033
0.0,130,1230.899327
1.0,177,1243.497014
1.0,177,1255.307556
1.0,160,1266.045541
1.0,175,1277.77852
1.0,169,1289.047777
0.0,132,1297.847675
1.0,162,1308.664194
2.0,212,1322.820487
1.0,179,1334.763714
0.0,131,1343.514055
2.0,201,1356.914856
2.0,227,1372.102411
3.0,242,1388.264348
0.0,134,1397.231524
1.0,181,1409.346759
1.0,168,1420.552428
2.0,195,1433.55401
0.0,141,1442.948912
1.0,178,1454.831273
3.0,287,1474.003676
4.0,244,1490.341229
2.0,205,1504.007805
3.0,252,1520.837802
0.0,125,1529.200947
1.0,183,1541.398945
1.0,167,1552.532128
0.0,137,1561.682909
1.0,172,1573.164613
0.0,144,1582.765044
0.0,141,1592.182384
1.0,163,1603.53685
0.0,138,1612.731623
1.0,187,1625.215927
1.0,177,1637.031218
1.0,182,1649.215886
1.0,205,1662.908023
2.0,190,1676.048586
0.0,127,1684.530761
1.0,168,1695.782859
0.0,139,1705.064081
4.0,303,1725.748021
2.0,188,1738.339062
1.0,161,1749.072064
1.0,190,1761.799047
3.0,238,1782.898243
0.0,140,1801.324472
1.0,183,1819.162122
0.0,147,1838.907415
0.0,127,1855.048859
2.0,201,1880.573346
1.0,187,1904.096234
2.0,211,1930.383065
1.0,184,1961.24064
1.0,183,1975.652289
2.0,220,1990.318572
2.0,208,2004.187888
5.0,332,2026.323547
2.0,210,2040.332955
0.0,138,2049.549681
0.0,140,2058.887922
4.0,267,2076.742683
1.0,167,2087.872801
0.0,132,2096.682716
1.0,166,2107.767705
0.0,144,2117.38404
2.0,239,2133.333414
2.0,232,2148.866423
2.0,202,2162.366149
0.0,132,2171.149454
3.0,248,2187.761968
0.0,128,2196.299289
1.0,165,2207.299004
0.0,132,2216.102313
0.0,137,2225.286567
0.0,135,2234.299563
1.0,167,2245.45411
2.0,203,2259.001108
0.0,142,2268.484549
